chunk,note_score,dynamic_score,articulation_score,accent_score,pedal_score
0,91.5,93.0,76.8,100.0,92.8
1,88.0,85.0,91.66,92.0,91.6
2,88.0,90.0,83.28,96.0,92.8
3,89.5,85.0,80.5,96.0,94.0
4,91.0,91.0,76.35,84.0,95.2
5,86.0,88.0,80.68,88.0,92.8
6,86.0,83.0,74.54,100.0,95.2
7,93.0,71.0,98.77,36.0,91.6
8,91.5,65.0,90.1,4.0,91.6
9,90.0,89.0,61.18,92.0,89.2
10,89.0,90.0,73.61,80.0,91.6
11,91.0,93.0,74.44,88.0,94.0
12,95.5,95.0,85.83,84.0,91.6
13,92.0,73.0,84.09,34.0,92.8
14,86.0,83.0,96.89,26.0,90.4
15,95.0,83.0,74.56,64.0,95.2
16,98.5,90.0,79.8,88.0,91.6
17,85.0,94.0,75.4,75.0,95.2
